,File Name,Peak Time (s),Peak Flux (counts/s),Peak Above bkg (counts/s),Decay Rate (/s),Start Time (s),End Time (s),Rise Time (s),Decay Time (s),Duration (s)
0,ch2_xsm_20200701_v1_level2,110348208.40903401,96.33201181985304,81.92605683189494,0.002674111282827264,110342537.40903401,110353462.40903401,5671.0,5254.0,10925.0
1,ch2_xsm_20200701_v1_level2,110362868.40903401,56.559865884101235,35.91092188367925,0.00044595790049897365,110357934.40903401,110372941.40903401,4934.0,10073.0,15007.0
2,ch2_xsm_20200701_v1_level2,110378729.40903401,17.59048267361022,7.802407398335783,0.0005603746541587884,110378693.40903401,110383691.40903401,36.0,4962.0,4998.0
3,ch2_xsm_20200701_v1_level2,110387561.40903401,19.67702693286301,8.766214457671394,0.00017367283372757338,110382553.40903401,110404748.40903401,5008.0,17187.0,22195.0
4,ch2_xsm_20200701_v1_level2,110407118.40903401,15.444411942664964,11.308281653162771,0.0013109182367171393,110405752.40903401,110409756.40903401,1366.0,2638.0,4004.0
5,ch2_xsm_20200702_v1_level2,110456525.175745,39.576406842522985,31.64578854626193,0.0004755188157549008,110454383.175745,110465543.175745,2142.0,9018.0,11160.0
6,ch2_xsm_20200702_v1_level2,110470023.175745,16.91315524004136,11.016742434176807,0.005051652401788633,110468274.175745,110472015.175745,1749.0,1992.0,3741.0
7,ch2_xsm_20200702_v1_level2,110470964.175745,16.058184685672188,8.058226606388791,0.0009190875327825147,110469622.175745,110474320.175745,1342.0,3356.0,4698.0
8,ch2_xsm_20200702_v1_level2,110478996.175745,18.504763811789452,9.381912902299131,0.0004227931153094135,110475215.175745,110487331.175745,3781.0,8335.0,12116.0
9,ch2_xsm_20200702_v1_level2,110493945.175745,18.680664768182858,11.88703260317103,0.00015099894901075966,110488942.175745,110516331.175745,5003.0,22386.0,27389.0
10,ch2_xsm_20200703_v1_level2,110508136.93579005,17.228082800294757,7.32384463521335,0.00037523380450085476,110504426.93579005,110516656.93579005,3710.0,8520.0,12230.0
11,ch2_xsm_20200703_v1_level2,110522544.93579005,42.731089223643174,33.94625758225268,0.0006866456276661232,110518605.93579005,110530081.93579005,3939.0,7537.0,11476.0
12,ch2_xsm_20200703_v1_level2,110529069.93579005,17.85445401748337,7.849306677032688,0.0006466528109228644,110525532.93579005,110534793.93579005,3537.0,5724.0,9261.0
13,ch2_xsm_20200703_v1_level2,110536988.93579005,22.622937367542814,26.39459167133033,0.0001439089949210888,110529615.93579005,110566511.93579005,7373.0,29523.0,36896.0
14,ch2_xsm_20200703_v1_level2,110541961.93579005,15.297366333452935,4.770599110894151,0.0009316500996829779,110540906.93579005,110544748.93579005,1055.0,2787.0,3842.0
15,ch2_xsm_20200703_v1_level2,110556232.93579005,15.326842394940526,9.031421992262182,0.0006994472109425263,110552812.93579005,110561882.93579005,3420.0,5650.0,9070.0
16,ch2_xsm_20200703_v1_level2,110562372.93579005,17.907327986581702,9.527099375853867,0.005555923831860147,110560757.93579005,110564206.93579005,1615.0,1834.0,3449.0
17,ch2_xsm_20200703_v1_level2,110563062.93579005,16.20287109634075,7.861221195823632,0.001208235053795678,110561937.93579005,110565693.93579005,1125.0,2631.0,3756.0
18,ch2_xsm_20200703_v1_level2,110570263.93579005,17.874969167644515,9.270845372095836,0.000293997987822294,110565469.93579005,110581448.93579005,4794.0,11185.0,15979.0
19,ch2_xsm_20200704_v1_level2,110605649.660469,14.502463899495448,5.488040872336257,0.00024240395037286981,110605608.660469,110616434.660469,41.0,10785.0,10826.0
20,ch2_xsm_20200704_v1_level2,110612578.660469,19.310186177837547,7.396189772836719,0.003376278262970503,110610567.660469,110615718.660469,2011.0,3140.0,5151.0
21,ch2_xsm_20200704_v1_level2,110622191.660469,22.315536797224368,17.774038966869615,0.00017834634176498856,110616574.660469,110643956.660469,5617.0,21765.0,27382.0
22,ch2_xsm_20200704_v1_level2,110632251.660469,21.16631507756897,6.778942149584379,0.0022396552196354163,110627750.660469,110636564.660469,4501.0,4313.0,8814.0
23,ch2_xsm_20200704_v1_level2,110633959.660469,19.549393191411355,15.263116865704074,0.001256675152419842,110632440.660469,110637051.660469,1519.0,3092.0,4611.0
24,ch2_xsm_20200704_v1_level2,110640179.660469,12.92154931856884,8.189145078169556,0.0003152070445909069,110636369.660469,110650463.660469,3810.0,10284.0,14094.0
25,ch2_xsm_20200704_v1_level2,110641107.660469,13.890657308407862,5.0437887919644835,0.0015663287578863935,110638759.660469,110643084.660469,2348.0,1977.0,4325.0
26,ch2_xsm_20200704_v1_level2,110648282.660469,14.053245294387407,5.387015167410045,0.0009245488932379528,110646801.660469,110651289.660469,1481.0,3007.0,4488.0
27,ch2_xsm_20200704_v1_level2,110657350.660469,17.93060806123595,14.068279181563609,0.00021918669560852042,110652421.660469,110674158.660469,4929.0,16808.0,21737.0
28,ch2_xsm_20200706_v1_level2,110768619.473149,11.58139561357486,5.233760936972768,0.0009890999102746669,110767582.473149,110771413.473149,1037.0,2794.0,3831.0
29,ch2_xsm_20200706_v1_level2,110778142.473149,17.58567328959568,22.347567269985376,0.00013126304919880395,110770998.473149,110809878.473149,7144.0,31736.0,38880.0
30,ch2_xsm_20200706_v1_level2,110785208.473149,14.466612972077115,14.294883226200373,0.00013986947049452898,110776483.473149,110812546.473149,8725.0,27338.0,36063.0
31,ch2_xsm_20200706_v1_level2,110789916.473149,11.821336432745712,7.68678020608222,0.0014058837777029365,110788548.473149,110792347.473149,1368.0,2431.0,3799.0
32,ch2_xsm_20200706_v1_level2,110827331.473149,14.946397120407404,6.79422214897833,0.0004380152520656529,110823227.473149,110835156.473149,4104.0,7825.0,11929.0
33,ch2_xsm_20200706_v1_level2,110841818.473149,25.24631514484059,32.135421414568356,0.0002091091589627461,110836478.473149,110863614.473149,5340.0,21796.0,27136.0
34,ch2_xsm_20200707_v1_level2,110853770.19358999,9.95777867125116,8.183334137970176,0.0014202320446958464,110852487.19358999,110856166.19358999,1283.0,2396.0,3679.0
35,ch2_xsm_20200707_v1_level2,110860048.19358999,9.300404271799216,7.484383302855722,0.0002135101324707186,110855888.19358999,110874909.19358999,4160.0,14861.0,19021.0
36,ch2_xsm_20200707_v1_level2,110867782.19358999,11.045874846199252,5.8432081333845,0.0015956021842874425,110866577.19358999,110869914.19358999,1205.0,2132.0,3337.0
37,ch2_xsm_20200707_v1_level2,110873977.19358999,11.008533491763599,5.953824210373021,0.0004918240458093481,110869945.19358999,110880819.19358999,4032.0,6842.0,10874.0
38,ch2_xsm_20200707_v1_level2,110895434.19358999,10.240811081198874,7.427749754624077,0.0004293206399250236,110891359.19358999,110903459.19358999,4075.0,8025.0,12100.0
39,ch2_xsm_20200707_v1_level2,110896352.19358999,11.341680922848418,11.04314460756859,0.0013004688126885748,110895055.19358999,110899124.19358999,1297.0,2772.0,4069.0
40,ch2_xsm_20200707_v1_level2,110902754.19358999,9.3306725211966,8.776769740608195,0.00013096247382989943,110898532.19358999,110927579.19358999,4222.0,24825.0,29047.0
41,ch2_xsm_20200707_v1_level2,110903315.19358999,9.60739996426252,4.355411179400284,0.001795865992592768,110901878.19358999,110905130.19358999,1437.0,1815.0,3252.0
42,ch2_xsm_20200707_v1_level2,110909661.19358999,9.455371331506916,4.38301472335742,0.0003360167198412694,110905746.19358999,110918096.19358999,3915.0,8435.0,12350.0
43,ch2_xsm_20200708_v1_level2,110946174.74084996,8.385933819125125,5.208900510240831,0.0014711891455422821,110945036.74084996,110948236.74084996,1138.0,2062.0,3200.0
44,ch2_xsm_20200708_v1_level2,110952128.74084996,7.715055722772607,4.600178022651833,0.0007251108934240173,110948264.74084996,110957242.74084996,3864.0,5114.0,8978.0
45,ch2_xsm_20200708_v1_level2,110967541.74084996,8.044401216337052,4.801172766483745,0.0014011047212950012,110966077.74084996,110969771.74084996,1464.0,2230.0,3694.0
46,ch2_xsm_20200708_v1_level2,110977034.74084996,10.116491462963443,7.8286545625145765,0.0001469708851643146,110971390.74084996,110999278.74084996,5644.0,22244.0,27888.0
47,ch2_xsm_20200708_v1_level2,111003302.74084996,8.696802588321155,7.205031530405291,0.0019800752682102864,111001860.74084996,111005228.74084996,1442.0,1926.0,3368.0
48,ch2_xsm_20200708_v1_level2,111009234.74084996,8.687693677329099,7.70107740314053,0.0011710041983699255,111004950.74084996,111014003.74084996,4284.0,4769.0,9053.0
49,ch2_xsm_20200708_v1_level2,111016983.74084996,12.252734650169016,4.166147002220489,0.0011494613233184426,111012068.74084996,111021991.74084996,4915.0,5008.0,9923.0
50,ch2_xsm_20200709_v1_level2,111024853.52091998,11.460891588706453,13.690138386948036,0.0017862944534694977,111022960.52091998,111027239.52091998,1893.0,2386.0,4279.0
51,ch2_xsm_20200709_v1_level2,111031391.52091998,9.658467647377263,12.287224524725064,0.0001606865498561326,111026817.52091998,111053717.52091998,4574.0,22326.0,26900.0
52,ch2_xsm_20200709_v1_level2,111039229.52091998,12.282171173551587,6.063883552323947,0.001631515101127612,111038444.52091998,111041028.52091998,785.0,1799.0,2584.0
53,ch2_xsm_20200709_v1_level2,111044727.52091998,14.432111431837884,8.478401875122728,0.002477793995477891,111040551.52091998,111048838.52091998,4176.0,4111.0,8287.0
54,ch2_xsm_20200709_v1_level2,111050355.52091998,17.49214605388781,4.47872598220256,0.003331135906806119,111046503.52091998,111053640.52091998,3852.0,3285.0,7137.0
55,ch2_xsm_20200709_v1_level2,111053466.52091998,12.66957896675167,37.21697695005644,0.0012276802227590945,111052182.52091998,111057315.52091998,1284.0,3849.0,5133.0
56,ch2_xsm_20200709_v1_level2,111060621.52091998,11.891265571446905,8.535733887932574,0.0010250384036780017,111059549.52091998,111063788.52091998,1072.0,3167.0,4239.0
57,ch2_xsm_20200709_v1_level2,111067636.52091998,11.702081438766243,9.009890107490287,0.0011526100419559718,111066474.52091998,111070634.52091998,1162.0,2998.0,4160.0
58,ch2_xsm_20200709_v1_level2,111077088.52091998,45.81312398266868,78.10857263067437,0.0001930953852828329,111071416.52091998,111105123.52091998,5672.0,28035.0,33707.0
59,ch2_xsm_20200709_v1_level2,111089005.52091998,9.72054418444539,8.640537509884549,0.0008823692130091658,111087360.52091998,111092906.52091998,1645.0,3901.0,5546.0
60,ch2_xsm_20200709_v1_level2,111100128.52091998,15.110739819300756,14.308774508057322,0.0013378155550631482,111091316.52091998,111108569.52091998,8812.0,8441.0,17253.0
61,ch2_xsm_20200709_v1_level2,111103497.52091998,9.48731464993925,5.252997393588728,0.0008870553491644955,111102807.52091998,111106531.52091998,690.0,3034.0,3724.0
62,ch2_xsm_20200710_v1_level2,111182561.025264,20.12967100956184,32.432108883801234,0.0006108455182269632,111178120.025264,111191051.025264,4441.0,8490.0,12931.0
63,ch2_xsm_20200710_v1_level2,111189665.025264,14.733625883908365,15.56738341803894,0.0006883022190725436,111185457.025264,111196458.025264,4208.0,6793.0,11001.0
64,ch2_xsm_20200710_v1_level2,111195134.025264,9.170278762380248,6.5689149209982105,0.006960427143777353,111193963.025264,111196546.025264,1171.0,1412.0,2583.0
65,ch2_xsm_20200711_v1_level2,111204083.3015,12.521741885810375,10.122676080803313,0.0004014507983693434,111200205.3015,111213272.3015,3878.0,9189.0,13067.0
66,ch2_xsm_20200711_v1_level2,111209352.3015,8.535528614706559,6.136149993830483,0.001393506753663516,111206657.3015,111212563.3015,2695.0,3211.0,5906.0
67,ch2_xsm_20200711_v1_level2,111233281.3015,21.213269299813376,38.2190366081024,0.00011953004871068708,111226561.3015,111272617.3015,6720.0,39336.0,46056.0
68,ch2_xsm_20200711_v1_level2,111243149.3015,11.723361973055079,6.521159972318563,0.002856823493256233,111239377.3015,111246666.3015,3772.0,3517.0,7289.0
69,ch2_xsm_20200711_v1_level2,111250547.3015,10.850810986197375,6.238584137256162,0.002517521702736897,111246452.3015,111254523.3015,4095.0,3976.0,8071.0
70,ch2_xsm_20200711_v1_level2,111264522.3015,11.082918967959461,5.328583405309068,0.0026853088764010147,111260760.3015,111268078.3015,3762.0,3556.0,7318.0
71,ch2_xsm_20200711_v1_level2,111272961.3015,17.85834829472064,8.464585640627165,0.0010065231773250104,111272679.3015,111276118.3015,282.0,3157.0,3439.0
72,ch2_xsm_20200712_v1_level2,111292086.4849922,12.1126562659888,3.7876970301847273,0.0031577640730673646,111288409.4849922,111295288.4849922,3677.0,3202.0,6879.0
73,ch2_xsm_20200712_v1_level2,111296754.4849922,19.14595171371721,25.268095934293143,0.00018284142227143878,111291424.4849922,111320709.4849922,5330.0,23955.0,29285.0
74,ch2_xsm_20200712_v1_level2,111301340.4849922,7.832608114331162,9.242069422032063,0.0007174714703969996,111299204.4849922,111306364.4849922,2136.0,5024.0,7160.0
75,ch2_xsm_20200712_v1_level2,111308443.4849922,8.50364742332952,8.920738537329493,0.0025773553874811213,111305545.4849922,111312931.4849922,2898.0,4488.0,7386.0
76,ch2_xsm_20200712_v1_level2,111313905.4849922,10.56358264666764,4.0818422910551035,0.002970093227738253,111310196.4849922,111317325.4849922,3709.0,3420.0,7129.0
77,ch2_xsm_20200712_v1_level2,111315818.4849922,9.993380784668414,12.730475640613575,0.000448713820382011,111314596.4849922,111323903.4849922,1222.0,8085.0,9307.0
78,ch2_xsm_20200712_v1_level2,111322696.4849922,8.339602555964149,8.51167152822245,0.00263196075283948,111320139.4849922,111327143.4849922,2557.0,4447.0,7004.0
79,ch2_xsm_20200712_v1_level2,111327442.4849922,14.978031164371815,6.484288840082875,0.002631468109774503,111323184.4849922,111331207.4849922,4258.0,3765.0,8023.0
80,ch2_xsm_20200712_v1_level2,111329993.4849922,8.738019242404352,5.6925107742955,0.0004956374934058236,111329062.4849922,111335716.4849922,931.0,5723.0,6654.0
81,ch2_xsm_20200712_v1_level2,111336790.4849922,8.73607251945477,4.595009969882239,0.002736759541375897,111334637.4849922,111340827.4849922,2153.0,4037.0,6190.0
82,ch2_xsm_20200712_v1_level2,111355275.4849922,15.315593779743395,9.934417024795595,0.002065670704371847,111348716.4849922,111361335.4849922,6559.0,6060.0,12619.0
83,ch2_xsm_20200713_v1_level2,111372418.22485156,7.279356927545924,4.793791017714894,0.0011951820817586538,111371949.22485156,111374698.22485156,469.0,2280.0,2749.0
84,ch2_xsm_20200713_v1_level2,111390918.22485156,15.647244100630337,8.260226661424591,0.0025171589864770878,111386030.22485156,111395260.22485156,4888.0,4342.0,9230.0
85,ch2_xsm_20200713_v1_level2,111406215.22485156,8.835842002530459,3.599962337106498,0.003599873470392885,111402646.22485156,111409559.22485156,3569.0,3344.0,6913.0
86,ch2_xsm_20200713_v1_level2,111426988.22485156,15.458069348055774,10.447478464342565,0.0028062774084499803,111422775.22485156,111430851.22485156,4213.0,3863.0,8076.0
87,ch2_xsm_20200713_v1_level2,111433800.22485156,12.356836648915241,5.669573302954325,0.003188844539760534,111429677.22485156,111437408.22485156,4123.0,3608.0,7731.0
88,ch2_xsm_20200713_v1_level2,111445521.22485156,20.47935853435253,35.67383568003133,0.00014524195594495208,111439042.22485156,111478195.22485156,6479.0,32674.0,39153.0
89,ch2_xsm_20200714_v1_level2,111457345.97132616,6.110038297560706,12.957880457939726,0.004521745171162306,111452525.97132616,111459825.97132616,4820.0,2480.0,7300.0
90,ch2_xsm_20200926_v1_level2,117852026.181849,825.5893771000461,834.6057393256392,0.001028121933214495,117843614.181849,117861306.181849,8412.0,9280.0,17692.0
91,ch2_xsm_20200927_v1_level2,117938501.89184004,86.20947673101753,10.063495424996804,0.0011052543932827683,117930958.89184004,117946565.89184004,7543.0,8064.0,15607.0
92,ch2_xsm_20200927_v1_level2,117954146.89184004,87.08651443572846,18.298589408045345,0.0010975541463549576,117942159.89184004,117965211.89184004,11987.0,11065.0,23052.0
93,ch2_xsm_20200928_v1_level2,118034262.44376,90.66815632451208,19.117161371245533,8.205875385105637e-05,118025487.44376,118070133.44376,8775.0,35871.0,44646.0
94,ch2_xsm_20200928_v1_level2,118062940.44376,102.37142931327986,19.106940780308506,0.00031792936891128867,118054106.44376,118074788.44376,8834.0,11848.0,20682.0
95,ch2_xsm_20200928_v1_level2,118078541.44376,141.37439386750566,57.23656357460908,0.0007077678708958062,118073258.44376,118084639.44376,5283.0,6098.0,11381.0
96,ch2_xsm_20200929_v1_level2,118163727.145319,88.68553225998974,19.462742794520093,0.0018206681960175085,118159358.145319,118169307.145319,4369.0,5580.0,9949.0
97,ch2_xsm_20200930_v1_level2,118205106.787875,64.24402906170154,9.570043990462679,0.0010897695089842274,118194224.787875,118215473.787875,10882.0,10367.0,21249.0
98,ch2_xsm_20201001_v1_level2,118293888.4259961,93.4214503353748,24.27039608158957,0.0009538487353012992,118282685.4259961,118305767.4259961,11203.0,11879.0,23082.0
99,ch2_xsm_20201001_v1_level2,118336800.4259961,67.61837565583153,10.917750799085518,0.00028517209873036735,118332598.4259961,118346522.4259961,4202.0,9722.0,13924.0
100,ch2_xsm_20201003_v1_level2,118517309.77699414,85.21134495775036,20.61745459099421,0.0026862055573517647,118512523.77699414,118522080.77699414,4786.0,4771.0,9557.0
